Anonymous ID,Year,Prior Stat,Other Stat,Prior CS,Other CS,Prior Math,Other Math,How would you best describe your confidence with Tinker Plots?,How would you best describe your confidence with statistical concepts?,How would you best describe your confidence with R and RStudio?,AW1,AW2,AW3,AW4,AW5,TM1,TM2,TM3,TM4,TM5,CA1,CA2,CA3,CA4,CA5,TH1,TH2,TH3,TH4,TH5,SD
1,Senior (4th Year +),"AP Statistics, IB Statistics or any other high school statistics course",,No prior programming or computer science courses taken,,College level Calculus (eg. Math 221/231/241),,I occasionally feel confused when using Tinker Plots,I occasionally feel confused when enaging with statistical concepts,I occasionally feel confident when using R and RStudio,8,10,8,9,7,9,8,9,9,9,9,8,8,7,9,9,8,8,9,8,0.7591546545
3,Sophomore (2nd Year),"AP Statistics, IB Statistics or any other high school statistics course",,200+ level CS courses,,AP Calculus AB/BC,,I occasionally feel confident when using Tinker Plots,I occasionally feel confused when enaging with statistical concepts,I occasionally feel confused when using R and RStudio,7,5,8,8,7,8,7,7,8,8,7,7,8,8,6,7,7,8,8,9,0.8825799502
6,Senior (4th Year +),Introductory College Statistics Course (100 or 200 level course),,200+ level CS courses,,No prior Calculus Experience,,I feel confident using Tinker Plots most of the time,I occasionally feel confused when enaging with statistical concepts,I occasionally feel confused when using R and RStudio,10,9,9,10,9,9,9,8,9,9,7,10,10,10,9,9,9,10,10,9,0.7677718959
7,Freshman (1st Year),"AP Statistics, IB Statistics or any other high school statistics course",,No prior programming or computer science courses taken,,AP Calculus AB/BC,,I feel confident using Tinker Plots most of the time,I feel confident engaging with statistical concepts most of the time,I occasionally feel confused when using R and RStudio,3,3,4,5,6,5,4,5,5,4,5,6,5,6,6,6,5,6,8,5,1.165287405
8,Freshman (1st Year),No prior statistics courses taken,,No prior programming or computer science courses taken,,College level Calculus (eg. Math 221/231/241),,I occasionally feel confident when using Tinker Plots,I occasionally feel confident when engaging with statistical concepts,I occasionally feel confident when using R and RStudio,6,5,7,5,7,9,9,9,9,8,7,8,9,9,9,8,8,9,9,9,1.35627198
9,Freshman (1st Year),"AP Statistics, IB Statistics or any other high school statistics course",,"AP CS Principles or a fundamental CS principles course (eg. theory, pseudo-coding etc.),AP CS A or similar high school programming course (eg. a course that teaches Java, Python, C++ etc.)",,AP Calculus AB/BC,,I feel confident using Tinker Plots most of the time,I feel confident engaging with statistical concepts most of the time,I feel confident using R and RStudio most of the time,10,7,10,9,8,9,9,9,9,10,10,9,9,9,9,8,8,8,8,10,0.8522416262
10,Senior (4th Year +),Advanced College Statics Course (300+ level statistics course),,"Introductory CS course for non-CS/CE/ECE majors (eg. CS 101, CS 105)",,College level Calculus (eg. Math 221/231/241),,I occasionally feel confident when using Tinker Plots,I occasionally feel confident when engaging with statistical concepts,I occasionally feel confident when using R and RStudio,8,8,7,8,7,7,7,6,6,7,7,7,7,7,7,7,6,7,5,7,0.7181848465
11,Sophomore (2nd Year),"AP Statistics, IB Statistics or any other high school statistics course",,"Introductory CS course for CS/CE/ECE majors (eg. CS 124, 128)",,College level Calculus (eg. Math 221/231/241),,I occasionally feel confused when using Tinker Plots,I occasionally feel confused when enaging with statistical concepts,I occasionally feel confused when using R and RStudio,3,5,5,5,4,6,5,5,5,5,5,5,5,5,5,5,5,7,7,7,0.9514531822
12,Freshman (1st Year),"AP Statistics, IB Statistics or any other high school statistics course",,"AP CS Principles or a fundamental CS principles course (eg. theory, pseudo-coding etc.)",,"AP Calculus AB/BC,College level Calculus (eg. Math 221/231/241)",,I occasionally feel confused when using Tinker Plots,I feel confident engaging with statistical concepts most of the time,I occasionally feel confused when using R and RStudio,3,3,9,7,5,1,0,0,0,0,5,6,6,6,5,6,4,6,3,4,2.645253943
14,Sophomore (2nd Year),No prior statistics courses taken,,"AP CS Principles or a fundamental CS principles course (eg. theory, pseudo-coding etc.),AP CS A or similar high school programming course (eg. a course that teaches Java, Python, C++ etc.)",,AP Calculus AB/BC,,I feel confused using Tinker Plots most of the time,I occasionally feel confused when enaging with statistical concepts,I feel confused using R and RStudio most of the time,10,3,10,4,6,5,2,2,3,3,3,8,5,10,9,8,9,8,8,10,2.992974229
